action_lineage_id,decision_action_routing_id,decision_readiness_id,lineage_type,lineage_description,lineage_status,source_phase,reconciliation_status,governance_note
ALN-8F01EC64,DAR-CF860C38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-CEC818E4,DAR-23F2E917,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-39E690AD,DAR-70764F11,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7EDE807A,DAR-AE9BC4DF,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-65F2B3DC,DAR-3E418BED,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-65CCAB24,DAR-814A2C66,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3B7BF8C0,DAR-F293FEE6,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-9C2848BB,DAR-6CC8A7F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1CAB17FE,DAR-CAC703A7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1702A419,DAR-F3BD9351,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-253797A4,DAR-0CCD9938,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-B19E091C,DAR-D040CDC1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-DE1D78AE,DAR-79C9542C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-4A9F695C,DAR-6207FB56,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-FB474F9C,DAR-C0188C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-866E2D39,DAR-7DE12342,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-496D667E,DAR-0065947D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-5798653A,DAR-CB286D43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-87C9E1EF,DAR-CC7DB954,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-FEA6F6C5,DAR-FA923347,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C1FBFCCA,DAR-22E3AC13,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-75479ACD,DAR-D4026F38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-80C94A34,DAR-C4E6E240,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1AFE2EDD,DAR-F2384F54,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-25915468,DAR-426B72C9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C6C4EBA4,DAR-441332C4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-DF4DDBEA,DAR-82C838CB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-0AB56F6C,DAR-1E4C9848,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7C0C84F5,DAR-CB035459,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3178BAD4,DAR-AF9E3D40,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-0BA4967C,DAR-5D66F99D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-6EFFB90D,DAR-76298A2F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3F2633F6,DAR-5D6B7DD8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-07A0326E,DAR-A1061C6F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
