file_name,file_path,source_phase,row_count,column_count,checksum,frozen_checksum,checksum_match,authoritative_status,evidence_use_status,audit_use_status,superseded_flag,governance_note
step_2d5_authoritative_input_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_authoritative_input_register.csv,2D-5,17,11,5ca740095987d51c9abaa6e186dd03d766d5a7e0a68b7cf91ed19f81d95c304d,5ca740095987d51c9abaa6e186dd03d766d5a7e0a68b7cf91ed19f81d95c304d,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_decision_action_routing_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_decision_action_routing_register.csv,2D-5,646,20,dc002c6f0647d41aff8db77bec69ac01ed20ce948e6c1f87cfa744221cacf784,dc002c6f0647d41aff8db77bec69ac01ed20ce948e6c1f87cfa744221cacf784,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_action_eligibility_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_eligibility_register.csv,2D-5,11628,12,76de11c7c4d45e6e33e1e029846e131a3bab72f0d3d43590e3b5486059e48261,76de11c7c4d45e6e33e1e029846e131a3bab72f0d3d43590e3b5486059e48261,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_action_prerequisite_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_prerequisite_register.csv,2D-5,3713,14,492152e8812d186d3ecf77f2a8b590870762b45adb0dca7f3db36f4bce7b8c98,492152e8812d186d3ecf77f2a8b590870762b45adb0dca7f3db36f4bce7b8c98,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_action_blocking_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_action_blocking_register.csv,2D-5,504,12,43609680a8b42e65c528f936acfb7ee1fd6fbda9452df440a166a54670fcf9b1,43609680a8b42e65c528f936acfb7ee1fd6fbda9452df440a166a54670fcf9b1,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_primary_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_primary_action_register.csv,2D-5,646,8,4c57edc932521b100c0113f6909ff8db4c1930f54c4a2234fe95a4898f8bfd14,4c57edc932521b100c0113f6909ff8db4c1930f54c4a2234fe95a4898f8bfd14,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_secondary_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_secondary_action_register.csv,2D-5,1938,6,35e41a915821ffbe9f45f6a2f4184a160121cd6b0e2db921d15e34b435595dc1,35e41a915821ffbe9f45f6a2f4184a160121cd6b0e2db921d15e34b435595dc1,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_responsible_role_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_responsible_role_register.csv,2D-5,646,9,c39e227d89e070d5fb4a8961ed9ffb52d31b26a3d355f51a0528759a6683590a,c39e227d89e070d5fb4a8961ed9ffb52d31b26a3d355f51a0528759a6683590a,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_escalation_routing_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_escalation_routing_register.csv,2D-5,646,13,7f519f3d332db7d6d5676556cae6335a3286f6e0fa1d6fc106e2e34daa8a7824,7f519f3d332db7d6d5676556cae6335a3286f6e0fa1d6fc106e2e34daa8a7824,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
step_2d5_monitoring_action_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d5_monitoring_action_register.csv,2D-5,646,13,d45ad60e59dd6a0053e15eb9b5760a5dede696a00a6af3750ec90a976df69750,d45ad60e59dd6a0053e15eb9b5760a5dede696a00a6af3750ec90a976df69750,True,Verified,Permitted,Permitted,False,Authority verified for 2D-6
