lineage_completeness_id,decision_lineage_profile_id,decision_package_id,expected_stage_count,completed_stage_count,conditional_stage_count,missing_stage_count,orphan_stage_count,lineage_coverage_pct,lineage_completeness_status,audit_traceability_status,governance_note
LNC-CE1D8C8F,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-5FDD2FB7,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-698377F9,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-28913F52,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-5CED3A4C,LNP-841AA435,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-E23D8490,LNP-8DE9FE1A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-477B9943,LNP-F801B162,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-1A5244EE,LNP-2E86CC3B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-00EA419D,LNP-D0A74D95,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-01A13CF5,LNP-FA455A67,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-5CC5AF16,LNP-971A1A17,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
LNC-515C40D3,LNP-F1ECE539,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,18,18,1,0,0,100.0,Complete,Traceable,Lineage completeness assessed from link records
