decision_action_routing_id,decision_package_id,final_readiness_status,primary_permitted_action,primary_action_id,assigned_flag,selected_flag,governance_note
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion,Request Lineage Completion,,False,False,Primary action reflects readiness status: Requires Lineage Completion
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation,Validate Baseline,,False,False,Primary action reflects readiness status: Requires Baseline Validation
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion,Request Evidence Completion,,False,False,Primary action reflects readiness status: Requires Evidence Completion
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis,Request Additional Scenario,,False,False,Primary action reflects readiness status: Requires Additional Scenario Analysis
DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion,Request Evidence Completion,,False,False,Primary action reflects readiness status: Requires Evidence Completion
DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion,Request Evidence Completion,,False,False,Primary action reflects readiness status: Requires Evidence Completion
DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion,Request Lineage Completion,,False,False,Primary action reflects readiness status: Requires Lineage Completion
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis,Request Additional Scenario,,False,False,Primary action reflects readiness status: Requires Additional Scenario Analysis
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
