source_to_decision_trace_id,decision_package_id,trace_summary,source_phase_path,source_record_path,transformation_path,configuration_version_path,evidence_reference_path,lineage_reference_path,trace_status,trace_limitation,governance_note
TRC-43E533AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260108_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Partial,Limited by readiness status: Requires Lineage Completion,Trace does not claim completed management decision
TRC-C2EF8A98,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260116_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Partial,Limited by readiness status: Requires Baseline Validation,Trace does not claim completed management decision
TRC-1398E865,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260209_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Complete,,Trace does not claim completed management decision
TRC-58EDFAB4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260328_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Complete,,Trace does not claim completed management decision
TRC-26EB9E1D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260410_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Complete,,Trace does not claim completed management decision
TRC-2C3692BB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260420_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Partial,Limited by readiness status: Requires Evidence Completion,Trace does not claim completed management decision
TRC-F8EFC1B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260506_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Complete,,Trace does not claim completed management decision
TRC-52ECC3D7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260602_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Complete,,Trace does not claim completed management decision
TRC-41A8482F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260608_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Complete,,Trace does not claim completed management decision
TRC-FBC0A4CE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260721_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Complete,,Trace does not claim completed management decision
TRC-1ACA6AC3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260726_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Partial,Limited by readiness status: Requires Additional Scenario Analysis,Trace does not claim completed management decision
