integrated_management_brief_id,decision_package_id,hospital_name,department_name,dominant_kpi_name,risk_tier,urgency,management_attention_level,final_readiness_status,approval_status,brief_title,executive_headline,current_issue_summary,why_it_matters,representative_recommendation,immediate_action_option,near_term_action_option,preventive_action_option,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,displacement_risk,estimated_scenario_cost,estimated_financial_benefit,estimated_net_financial_impact,lower_financial_estimate,central_financial_estimate,upper_financial_estimate,financial_confidence,affordability_status,main_blocking_condition,top_secondary_conditions,failed_gates,required_resolution,primary_permitted_action,secondary_permitted_actions,escalation_status,monitoring_required,top_management_questions,blocking_question_count,causality_status,provisional_warning,contradiction_warning,evidence_completeness_status,lineage_completeness_status,future_audit_status,display_colour,display_icon,display_priority
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,Admissions,Staffing Level,,,Conditional Review,Requires Lineage Completion,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Lineage Completion,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,Admissions,Staffing Level,,,Conditional Review,Requires Baseline Validation,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Validate Baseline,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 84.55182072829132,Estimated impact: 11.833721440383371%,Estimated impact: 15.448179271708682%,Estimated impact: 15.448179271708682%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,Admissions,Staffing Level,,,Conditional Review,Requires Evidence Completion,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Evidence Completion,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,Admissions,Staffing Level,,,Conditional Review,Requires Additional Scenario Analysis,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Additional Scenario,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 73.91304347826086,Estimated impact: 8.695652173913047%,Estimated impact: 21.739130434782624%,Estimated impact: 26.08695652173914%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 80.95238095238095,Estimated impact: 9.523809523809533%,Estimated impact: 19.04761904761905%,Estimated impact: 19.04761904761905%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,Admissions,Staffing Level,,,Conditional Review,Requires Evidence Completion,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Evidence Completion,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,Baseline value: 79.94987468671678,Estimated impact: 10.050125313283218%,Estimated impact: 20.050125313283218%,Estimated impact: 20.050125313283218%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,,Admissions,Staffing Level,,,Conditional Review,Requires Evidence Completion,Pending Management Review,Integrated Management Brief: Admissions Staffing Level Attention,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Evidence Completion,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Lineage Completion,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Lineage Completion,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
