output_inventory_id,source_step,file_name,file_path,file_type,functional_area,row_count,column_count,current_version,authoritative_flag,corrected_flag,superseded_flag,frozen_flag,streamlit_use_flag,export_use_flag,audit_use_flag,source_manifest,checksum,governance_note
INV-integrated_management_brief-step_2d7_integrated_management_brief_register.csv,integrated_management_brief,step_2d7_integrated_management_brief_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d7_integrated_management_brief_register.csv,CSV,Integrated Management Brief,646,400,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,3d40705c122c59ec454e12812c6f4f55dfe2d8c9a7e264aad28b036050665cdd,Corrected authoritative
INV-scenario_summary-step_2d7_scenario_summary_register.csv,scenario_summary,step_2d7_scenario_summary_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d7_scenario_summary_register.csv,CSV,Scenario Summary,646,11,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,38142f778f6161e433336f1c68c9094dde650444a6aff531759d192d36d6ad2c,Corrected authoritative
INV-management_brief_section-step_2d7_management_brief_section_register.csv,management_brief_section,step_2d7_management_brief_section_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d7_management_brief_section_register.csv,CSV,Management Brief Section,10982,5,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,b02fc013c68e7ad24eb067d6549432872231f1c1b92510612273cbe913d12c8b,Corrected authoritative
INV-streamlit_contract-step_2d7_streamlit_management_brief_contract.csv,streamlit_contract,step_2d7_streamlit_management_brief_contract.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d7_streamlit_management_brief_contract.csv,CSV,Streamlit Contract,646,50,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,d997888c5d5e2284ac28f7b92b639d852dda3107ea358cd3ffb81de4035bbcb6,Corrected authoritative
INV-master_validation-step_2d8_master_validation_register.csv,master_validation,step_2d8_master_validation_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_master_validation_register.csv,CSV,Master Validation,646,14,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,92549045b50af1324cc224491cacb690995c79f484125f797efedf0ce0fcc82f,Corrected authoritative
INV-final_validation_outcome-step_2d8_final_validation_outcome_register.csv,final_validation_outcome,step_2d8_final_validation_outcome_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_final_validation_outcome_register.csv,CSV,Final Validation Outcome,646,13,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,ad6f876c090cb5e7c5d0f6ff80246522f4457c1ef20e7fef7dbc748edc8fdeec,Corrected authoritative
INV-streamlit_handover-step_2d8_streamlit_handover_readiness_register.csv,streamlit_handover,step_2d8_streamlit_handover_readiness_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_streamlit_handover_readiness_register.csv,CSV,Streamlit Handover,646,6,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,aef65968038ac797e49449125d3f5805dcc8905928241a3ff8fa48abb7278588,Corrected authoritative
INV-scenario_validation-step_2d8_scenario_validation_register.csv,scenario_validation,step_2d8_scenario_validation_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_scenario_validation_register.csv,CSV,Scenario Validation,3,6,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,cd241eeec0a05403d7e7a81fec944f414dcd36649eb3ce637bb82b9fe654a346,Corrected authoritative
INV-scenario_reconciliation-step_2d8_scenario_summary_reconciliation_register.csv,scenario_reconciliation,step_2d8_scenario_summary_reconciliation_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_scenario_summary_reconciliation_register.csv,CSV,Scenario Reconciliation,76,16,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,c12875848a583aa929bfd86cc8b466b44a6e238a66db34daf8aefd75ab23aa61,Corrected authoritative
INV-scenario_correction-step_2d8_scenario_summary_correction_summary.csv,scenario_correction,step_2d8_scenario_summary_correction_summary.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\decision_intelligence\step_2d8_scenario_summary_correction_summary.csv,CSV,Scenario Correction,1,4,1.0,True,True,False,True,True,True,True,step_2d8_manifest.json,979d04d29e3b2cabf727175358bb9976a5ddfb508701fb36f77ed4a8aaf4f9a0,Corrected authoritative
