report_template_id,report_template_name,report_category,source_datasets,required_fields,optional_fields,supported_formats,page_contracts_included,implementation_priority,governance_note
RPT-01,Executive Summary,Summary,Executive Overview,integrated_management_brief_id;hospital_name;department_name;risk_tier;readiness_status;management_attention_level,financial_exposure;evidence_warning;action_queue_summary,CSV;Excel;PDF,PAGE-02,Priority 1,High-level summary for executive consumption
RPT-02,KPI Performance Report,Performance,KPI Dashboard,kpi_id;kpi_name;current_value;threshold_status;prior_comparison;trend;breach_flag;watch_flag,confidence_status;hospital_name;department_name;reporting_date,CSV;Excel,PAGE-03,Priority 1,KPI performance detail with thresholds
RPT-03,Risk and Alert Report,Risk,Risk and Alerts,decision_package_id;risk_tier;urgency;dominant_kpi;dominant_breach;contributing_factors;contradiction_warning,operational_escalation;management_attention;affected_department;reporting_date;primary_queue,CSV;Excel;PDF,PAGE-04,Priority 1,Risk register with contributing factors
RPT-04,Recommendation Report,Recommendation,Recommendation Summary,decision_package_id;representative_recommendation;immediate_option;near_term_option;preventive_option;validation_status;confirmation_required,provisional_warning;stakeholder_validation;causality_warning;evidence_link,CSV;Excel,PAGE-05,Priority 2,Recommendation options with validation status
RPT-05,Scenario Comparison Report,Scenario,Scenario Lab,decision_package_id;baseline_summary;conservative_summary;expected_summary;higher_intensity_summary;scenario_assumptions;kpi_impact;tradeoffs;displacement_risk,financial_impact;confidence;validation_warning,CSV;Excel,PAGE-06,Priority 2,Scenario comparison with assumptions
RPT-06,Financial Impact Report,Financial,Financial Impact,decision_package_id;cost_completeness;cost_components;benefit_components;net_financial_impact;lower_estimate;central_estimate;upper_estimate,financial_confidence;missing_input_warning;budget_info;affordability_status;roi_status;payback_status;double_counting_status,CSV;Excel;PDF,PAGE-07,Priority 2,Financial impact with uncertainty ranges
RPT-07,Integrated Management Brief,Brief,Integrated Decision,integrated_management_brief_id;executive_headline;issue_summary;why_it_matters;evidence_summary;recommendation_summary;scenario_summary;financial_summary;readiness_status,blocking_conditions;secondary_conditions;primary_permitted_action;management_questions;confirmations;monitoring;escalation;governance_and_limitations;audit_status,CSV;Excel;PDF;DOCX,PAGE-08,Priority 1,Full integrated management brief
RPT-08,Management Queue Report,Queue,Management Review and Actions,decision_package_id;approval_status;primary_queue;management_attention_level;reviewer_role;review_outcome,conditions_imposed;management_comment;escalation_path,CSV;Excel,PAGE-09,Priority 2,Management queue status summary
RPT-09,Evidence Pack,Audit,Audit and Traceability,decision_package_id;evidence_completeness;lineage_completeness;source_to_decision_trace;audit_requirements;audit_event_status;integrity_status;checksum,actor;timestamp;approval_reference;source_manifest,CSV;Excel,PAGE-11,Priority 3,Evidence and lineage pack
RPT-10,Audit and Traceability Report,Audit,Audit and Traceability,decision_package_id;package_version;evidence_completeness;lineage_completeness;source_to_decision_trace;audit_requirements;audit_event_status;actor;timestamp;approval_reference;integrity_status;checksum;source_manifest;retention_classification,,CSV;Excel;PDF,PAGE-11,Priority 3,Full audit and traceability report
RPT-11,Validation and Governance Report,Governance,Validation,decision_package_id;validation_outcome;correction_classification;streamlit_ready;checks_executed;checks_passed;checks_failed;failed_check_list,,CSV;Excel,PAGE-02;PAGE-11,Priority 3,Validation outcome summary
RPT-12,Full Decision Package,Complete,All Datasets,decision_package_id;integrated_management_brief_id;all_sections;all_datasets,,CSV;Excel;PDF;DOCX,All,Priority 3,Complete decision package export
