action_evidence_id,decision_action_routing_id,decision_readiness_id,evidence_type,evidence_description,evidence_status,source_phase,reconciliation_status,governance_note
AEV-2AE992C5,DAR-CF860C38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-CFD5972F,DAR-23F2E917,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-897AD192,DAR-70764F11,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4461F586,DAR-AE9BC4DF,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-FE0C8971,DAR-3E418BED,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-125A792B,DAR-814A2C66,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-BDF63431,DAR-F293FEE6,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B73A23B7,DAR-6CC8A7F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-9F4022B8,DAR-CAC703A7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-9306598B,DAR-F3BD9351,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-040BCC32,DAR-0CCD9938,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B04EB46F,DAR-D040CDC1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-13CEAA9B,DAR-79C9542C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-90750B8E,DAR-6207FB56,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-2EDBD0AD,DAR-C0188C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-22A080B0,DAR-7DE12342,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-426F43F3,DAR-0065947D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-90A103A9,DAR-CB286D43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
