version_control_id,governed_object_type,governed_object_id,current_version,previous_version,version_status,effective_timestamp,created_by_role,source_manifest,checksum,immutable_flag,superseded_flag,correction_reason,future_update_rule,governance_note
VER-2F30281A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E816A43F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-3534C68C,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-5B515F33,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-2BD76D9F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-2F1B4DFE,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A215157E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A22BCCD7,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-57BC54F3,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A70D9929,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-65C54A5E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-9D63C343,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-2BCFAC07,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-3DD3DFB9,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-76C19986,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-7B7ABBF6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-F6E0D810,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-CF350443,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-7853A1C3,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-1B1C7363,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-559CD5BB,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-08A881AA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-0F476267,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-7937A2AB,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-AE315ECE,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-D677C827,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-C326121C,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-F0933BFC,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-6B5AC585,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-00E3AC5A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-BB1910F6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A0C82E52,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-5BE3AB0A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-6A3D8184,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-F1D1BA49,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-6F59FBD4,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E1D6B518,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-09181835,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-0FAC29CA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-71409CC0,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-32B8A601,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-3BCD61B0,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-3C230A82,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-2DC4B1C6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-8BD65FFD,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-9D192FB6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E17D3D4F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E9A5C9A4,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A2105796,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
