lineage_link_id,decision_lineage_profile_id,decision_package_id,lineage_stage_number,lineage_stage_name,source_phase,source_file,source_record_id,parent_record_id,child_record_id,transformation_id,formula_id,configuration_id,version,source_checksum,link_status,orphan_flag,ambiguity_flag,governance_warning
LNL-C464CE92,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1,Raw or Synthetic Source Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,,LNL-C464CE92,TXF-1,FML-1,LNSTG-001,1.0,,Complete,False,False,
LNL-78244E8D,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2,Processed Operational Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,LNL-C464CE92,LNL-78244E8D,TXF-2,FML-2,LNSTG-002,1.0,,Complete,False,False,
LNL-E800F4CF,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,3,KPI Calculation,2A,step_2a_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-3,LNL-78244E8D,LNL-E800F4CF,TXF-3,FML-3,LNSTG-003,1.0,,Complete,False,False,
LNL-9A29EF65,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,4,Threshold and Trend Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-4,LNL-E800F4CF,LNL-9A29EF65,TXF-4,FML-4,LNSTG-004,1.0,,Complete,False,False,
LNL-210FD742,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,5,Risk Prioritisation,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-5,LNL-9A29EF65,LNL-210FD742,TXF-5,FML-5,LNSTG-005,1.0,,Complete,False,False,
LNL-33F12A48,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,6,Contributing-Factor Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-6,LNL-210FD742,LNL-33F12A48,TXF-6,FML-6,LNSTG-006,1.0,,Complete,False,False,
LNL-8C036046,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,7,Recommendation Generation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-7,LNL-33F12A48,LNL-8C036046,TXF-7,FML-7,LNSTG-007,1.0,,Complete,False,False,
LNL-07CFC9E2,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,8,Recommendation Validation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-8,LNL-8C036046,LNL-07CFC9E2,TXF-8,FML-8,LNSTG-008,1.0,,Complete,False,False,
LNL-25E0FE3A,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,9,Approval-Package Preparation,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-9,LNL-07CFC9E2,LNL-25E0FE3A,TXF-9,FML-9,LNSTG-009,1.0,,Complete,False,False,
LNL-F806CF0E,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,10,Scenario Modelling,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-10,LNL-25E0FE3A,LNL-F806CF0E,TXF-10,FML-10,LNSTG-010,1.0,,Complete,False,False,
