integrated_management_brief_id,decision_package_id,approval_package_id,final_readiness_status,scenario_required_status,scenario_readiness,scenario_family,baseline_availability,conservative_availability,expected_availability,higher_intensity_availability,scenario_summary_availability,source_scenario_package_id,source_file,reason_summary_is_missing,classification
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 84.55182072829132,Estimated impact: 11.833721440383371%,Estimated impact: 15.448179271708682%,Estimated impact: 15.448179271708682%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 73.91304347826086,Estimated impact: 8.695652173913047%,Estimated impact: 21.739130434782624%,Estimated impact: 26.08695652173914%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 80.95238095238095,Estimated impact: 9.523809523809533%,Estimated impact: 19.04761904761905%,Estimated impact: 19.04761904761905%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 79.94987468671678,Estimated impact: 10.050125313283218%,Estimated impact: 20.050125313283218%,Estimated impact: 20.050125313283218%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 17.857142857142854,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.789473684210526,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
