file_name,file_path,source_phase,row_count,column_count,checksum,frozen_checksum,checksum_match,authoritative_status,integration_use_status,governance_note
step_2c2f_package_closure_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\scenario_modelling\step_2c2f_package_closure_register.csv,2C-2F,646,19,9ec16865de30293bbc8da3a63a25b744d61f50dd5a251b010edeb49b15b7463c,,True,Authoritative,Include,
step_2c2f_management_scenario_package_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\scenario_modelling\step_2c2f_management_scenario_package_register.csv,2C-2F,311,43,5e41b4150c694559978c0a2ab98e0bde7f2b9d64f6bd29134562bcc5fa7009d2,,True,Authoritative,Include,
step_2c2f_scenario_run_closure_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\scenario_modelling\step_2c2f_scenario_run_closure_register.csv,2C-2F,2711,30,03a383b5f37b36c45ecab04d7608ca1028d3ef2e6b517e822b7bcdd96e2abbdd,,True,Authoritative,Include,
step_2c2f_comparator_closure_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\scenario_modelling\step_2c2f_comparator_closure_register.csv,2C-2F,357,16,35b5fb22697ab3969eb671f0f6fb64b4e2ce241801c2063dfe6bd3d98547c28c,,True,Authoritative,Include,
step_2c2f_deferred_and_non_ready_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\scenario_modelling\step_2c2f_deferred_and_non_ready_register.csv,2C-2F,335,11,ca8f13291febbc7f9b33000bddeace5d9daf2785af416554f48a8410d3549ec4,,True,Authoritative,Include,
step_2c3_financial_readiness_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\financial_impact\step_2c3_financial_readiness_register.csv,2C-3,311,11,935e5a1154bea683d85b2cd14c1fbb26987b7575cb531e52c93285657ae1481a,935e5a1154bea683d85b2cd14c1fbb26987b7575cb531e52c93285657ae1481a,True,Authoritative,Include,
step_2c3_management_financial_comparison.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\financial_impact\step_2c3_management_financial_comparison.csv,2C-3,311,24,c361317799f8b6daea42929eda3a7528fde586a33253e586de216e558cfd1519,c361317799f8b6daea42929eda3a7528fde586a33253e586de216e558cfd1519,True,Authoritative,Include,
step_2c3_financial_confidence_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\outputs\financial_impact\step_2c3_financial_confidence_register.csv,2C-3,1071,9,c394ccbf7e6e7bfd7b0f0231bbc0a40b8279440db624809855828beb254220f2,c394ccbf7e6e7bfd7b0f0231bbc0a40b8279440db624809855828beb254220f2,True,Authoritative,Include,
step_2c1d_episode_approval_package_register.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\data\scenario_inputs\step_2c1d_episode_approval_package_register.csv,2C-1,646,71,aebccfcff15ab4d44793e53da1a037118d02d2f699b8394f155e96e3c3596970,,True,Authoritative,Include,
analytical_department_risk_ranking.csv,C:\Users\DELL\OneDrive\Desktop\Sentinel360_Dynamic\data\analytical\analytical_department_risk_ranking.csv,2B,2920,18,98b31d3e8b528610aa84666d1e6c17b20b7b993b899b0d58f2a56fa1f43e4709,,True,Authoritative,Include,
