stage,elapsed_seconds,timestamp,step,mode,status
authority_verification,3.562,2026-07-29T17:10:03.065173,2D-7,full_run,COMPLETE
load_dataframes,0.253,2026-07-29T17:10:03.065188,2D-7,full_run,COMPLETE
join_sources,0.342,2026-07-29T17:10:03.065191,2D-7,full_run,COMPLETE
package_population_reconciliation,3.904,2026-07-29T17:10:03.065193,2D-7,full_run,COMPLETE
synthesize_sections,0.477,2026-07-29T17:10:03.065195,2D-7,full_run,COMPLETE
executive_summary_synthesis,6.727,2026-07-29T17:10:03.065197,2D-7,full_run,COMPLETE
risk_recommendation_synthesis,6.728,2026-07-29T17:10:03.065199,2D-7,full_run,COMPLETE
scenario_synthesis,6.728,2026-07-29T17:10:03.065200,2D-7,full_run,COMPLETE
financial_synthesis,6.728,2026-07-29T17:10:03.065202,2D-7,full_run,COMPLETE
governance_limitation_synthesis,6.728,2026-07-29T17:10:03.065204,2D-7,full_run,COMPLETE
create_derived_outputs,0.461,2026-07-29T17:10:03.065206,2D-7,full_run,COMPLETE
evidence_lineage_summarisation,7.189,2026-07-29T17:10:03.065208,2D-7,full_run,COMPLETE
action_route_synthesis,7.189,2026-07-29T17:10:03.065209,2D-7,full_run,COMPLETE
management_question_selection,7.189,2026-07-29T17:10:03.065211,2D-7,full_run,COMPLETE
streamlit_contract_creation,7.19,2026-07-29T17:10:03.065212,2D-7,full_run,COMPLETE
write_outputs,5.737,2026-07-29T17:10:03.065214,2D-7,full_run,COMPLETE
total_execution,77.132,2026-07-29T17:10:03.065225,2D-7,full_run,COMPLETE
