decision_package_id,integrated_management_brief_id,scenario_summary_present,scenario_summary_not_applicable,completeness_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,IMB-6779686B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,IMB-13EA9939,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,IMB-9332DC7F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,IMB-67568966,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,IMB-054E896F,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,IMB-C2279558,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,IMB-03B9E920,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,IMB-27792F9B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,IMB-6FD595C3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,IMB-DBBE6786,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,IMB-C95CA297,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,IMB-8D8019FF,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,IMB-4BE80CE6,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,IMB-7923F3A5,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,IMB-1EA09D3F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,IMB-9CAF9BFB,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,IMB-69084F9C,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,IMB-7ACB682D,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,IMB-A04C31D2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,IMB-7BF5560B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,IMB-0F7CBBBD,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,IMB-DC313032,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,IMB-B16AC730,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,IMB-65B007AB,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,IMB-00BBC43E,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,IMB-CB403676,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,IMB-7A203DC9,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,IMB-6B9113B2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,IMB-7E694674,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,IMB-791D31AE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,IMB-42E27596,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,IMB-26E86E31,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,IMB-CD88A7D0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,IMB-A201D5E5,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,IMB-F7E62568,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,IMB-3CC21958,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,IMB-D54BBA62,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,IMB-AB7D1D25,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,IMB-593A5AB7,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,IMB-34FF2141,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,IMB-B778809C,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,IMB-96D5924D,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,IMB-EB012AEE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,IMB-DB2B5F57,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,IMB-CE996CF0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,IMB-C5CE1EFE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,IMB-658006F1,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,IMB-48F1383A,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,IMB-7C829C4B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,IMB-D2F75205,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,IMB-75280831,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,IMB-5E629520,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,IMB-7EE68EF0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,IMB-F79F8EA6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,IMB-815944D4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,IMB-3E494728,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,IMB-5B350E77,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,IMB-71C375B8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,IMB-E784EC35,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,IMB-312BC4A0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,IMB-B504AD7E,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,IMB-5D0F86C8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,IMB-8FBCBB00,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,IMB-AC26D40C,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,IMB-AC0448CA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,IMB-8C4D0024,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,IMB-03A5CBFA,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,IMB-DC7B8314,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,IMB-FA35DD9B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,IMB-F325F6DE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,IMB-8FDF73B1,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,IMB-FEBBC6DF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,IMB-F50D5B65,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,IMB-00B717A2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,IMB-46F208B5,False,False,Incomplete
