integrated_management_brief_id,decision_package_id,evidence_completeness_status,lineage_completeness_status,audit_traceability_status,integrity_status,current_package_version,source_manifest,audit_requirements_pending,future_audit_status
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
