engine,status,rows,pass_count,fail_count,elapsed_seconds,error
authority,COMPLETE,27,27,0,0.017,
population,COMPLETE,22,22,0,0.166,
identity,COMPLETE,6,6,0,0.116,
kpi_risk,COMPLETE,3,3,0,0.13,
scenario,COMPLETE,3,3,0,0.115,
financial,COMPLETE,3,3,0,0.101,
readiness,COMPLETE,3,3,0,0.124,
action_routing,COMPLETE,5,5,0,0.101,
evidence,COMPLETE,2,2,0,0.159,
lineage,COMPLETE,2,2,0,0.145,
audit,COMPLETE,3,3,0,0.095,
narrative,COMPLETE,4,4,0,0.093,
wording,COMPLETE,3,3,0,0.113,
contradiction,COMPLETE,3,3,0,0.097,
cross_layer,COMPLETE,3,3,0,0.13,
streamlit,COMPLETE,4,4,0,0.015,
question,COMPLETE,2,2,0,0.004,
confirmation,COMPLETE,2,2,0,0.004,
monitoring,COMPLETE,2,2,0,0.108,
governance,COMPLETE,3,3,0,0.115,
recommendation,COMPLETE,3,3,0,0.099,
tradeoff,COMPLETE,2,2,0,0.097,
export_contract,COMPLETE,3,3,0,0.014,
priority_queue,COMPLETE,3,3,0,0.008,
section,COMPLETE,3,3,0,0.019,
type,COMPLETE,2,2,0,0.139,
