integrated_management_brief_id,decision_package_id,primary_permitted_action,secondary_permitted_actions,blocked_action_summary,primary_queue,secondary_queues,responsible_role,escalation_required,escalation_status,escalation_reason
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Request Lineage Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Validate Baseline,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Request Evidence Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
