transition_rule_id,decision_readiness_id,decision_package_id,current_state,eligible_next_state,transition_requirements,transition_not_executed_flag,transition_executed,execution_timestamp,executed_by,governance_note
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion,Ready with Conditions,Source-to-decision lineage completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation,Ready with Conditions,Baseline validation passes,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion,Ready with Conditions,Required evidence references provided,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
