patient_flow_daily_id,hospital_id,department_id,reporting_date,reporting_month,encounter_count,completed_encounter_count,cancelled_encounter_count,left_before_service_count,official_wait_eligible_encounter_count,total_arrival_to_consultation_minutes,queue_arrivals_count,queue_served_count,queue_waiting_patient_count,queue_average_wait_minutes,licensed_beds,staffed_beds,operational_beds,occupied_beds,unavailable_beds,reserved_beds,beds_above_operational_capacity,overcapacity_flag,planned_service_session_count,cancelled_service_session_count,reduced_service_session_count,extended_service_session_count,processing_run_id,validation_run_id,transformation_version,processed_datetime
PFD-HOSP-001-DEPT-ED-20260101,HOSP-001,DEPT-ED,2026-01-01,2026-01,100,97,2,1,0,,100.0,97.0,3.0,29.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260101,HOSP-001,DEPT-OPC,2026-01-01,2026-01,101,99,1,1,0,,101.0,99.0,2.0,30.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260101,HOSP-001,DEPT-DIAG,2026-01-01,2026-01,50,47,2,1,0,,50.0,47.0,3.0,33.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260102,HOSP-001,DEPT-ED,2026-01-02,2026-01,81,80,1,0,0,,81.0,80.0,1.0,34.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260102,HOSP-001,DEPT-OPC,2026-01-02,2026-01,72,69,0,3,0,,72.0,69.0,3.0,33.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260102,HOSP-001,DEPT-DIAG,2026-01-02,2026-01,34,32,1,1,0,,34.0,32.0,2.0,30.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260103,HOSP-001,DEPT-ED,2026-01-03,2026-01,92,89,2,1,0,,92.0,89.0,3.0,33.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260103,HOSP-001,DEPT-OPC,2026-01-03,2026-01,66,66,0,0,0,,66.0,66.0,0.0,33.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260103,HOSP-001,DEPT-DIAG,2026-01-03,2026-01,31,30,1,0,0,,31.0,30.0,1.0,34.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260104,HOSP-001,DEPT-ED,2026-01-04,2026-01,104,102,2,0,0,,104.0,102.0,2.0,30.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260104,HOSP-001,DEPT-OPC,2026-01-04,2026-01,86,84,1,1,0,,86.0,84.0,2.0,32.6,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260104,HOSP-001,DEPT-DIAG,2026-01-04,2026-01,58,56,2,0,0,,58.0,56.0,2.0,32.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260105,HOSP-001,DEPT-ED,2026-01-05,2026-01,95,94,1,0,0,,95.0,94.0,1.0,33.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
