survey_id,source_record_id,hospital_id,department_id,encounter_id,source_file,source_row_number,source_checksum,processing_run_id,processed_datetime,transformation_version,survey_date,survey_month,survey_year,survey_date_valid_flag,survey_channel,survey_type,response_count,satisfaction_score_source,satisfaction_score_numeric,satisfaction_scale_min,satisfaction_scale_max,satisfaction_score_valid_flag,satisfaction_score_normalised_flag,survey_response_present_flag,survey_record_valid_flag,survey_aggregation_eligible_flag,survey_score_eligible_flag,survey_response_count_eligible_flag,survey_channel_supported_flag,survey_type_supported_flag,unresolved_rule_flag,exclusion_reason_code,hospital_ref_valid_flag,department_ref_valid_flag
SURV-00000001,SURV-00000001,HOSP-001,DEPT-OPC,,patient_surveys.csv,1,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,2.4735301397573712,2.4735301397573712,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000002,SURV-00000002,HOSP-001,DEPT-OPC,,patient_surveys.csv,2,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,2.910750601145193,2.910750601145193,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000003,SURV-00000003,HOSP-001,DEPT-ICU,,patient_surveys.csv,3,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,4.757517239011568,4.757517239011568,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000004,SURV-00000004,HOSP-001,DEPT-ADM,,patient_surveys.csv,4,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,4.031141358608704,4.031141358608704,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000005,SURV-00000005,HOSP-001,DEPT-DIAG,,patient_surveys.csv,5,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,4.444876765258371,4.444876765258371,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000006,SURV-00000006,HOSP-001,DEPT-DIAG,,patient_surveys.csv,6,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,5.0,5.0,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000007,SURV-00000007,HOSP-001,DEPT-PEX,,patient_surveys.csv,7,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,3.704782254741907,3.704782254741907,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000008,SURV-00000008,HOSP-001,DEPT-PEX,,patient_surveys.csv,8,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,,,1.0,5.0,False,False,False,True,True,False,True,False,True,False,,True,True
SURV-00000009,SURV-00000009,HOSP-001,DEPT-SURG,,patient_surveys.csv,9,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,4.962408514673321,4.962408514673321,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
SURV-00000010,SURV-00000010,HOSP-001,DEPT-MED,,patient_surveys.csv,10,,PROC-PEX-8337749CCBE7,2026-07-26 22:04:47.872097,2D-4.0,2026-01-01,1,2026,True,,Outpatient Satisfaction,1.0,3.411086162731441,3.411086162731441,1.0,5.0,True,False,True,True,True,True,True,False,True,False,,True,True
