stability_record_id,threshold_candidate_id,kpi_id,test_dimension,test_segment,candidate_green_percentage,candidate_amber_percentage,candidate_red_percentage,deviation_from_full_period,stability_status,stability_reason,calibration_run_id
STB-888DDB88806B,CAND-CFFC26CDAEA8,kpi_001,hospital_id,HOSP-001,77.43150684931507,17.602739726027398,4.965753424657534,0.0,Stable,Deviation from full-period green % = 0.0,THCAL-DBEA0A3F3860
STB-18CA831965C9,CAND-CFFC26CDAEA8,kpi_001,month,2026-01,86.29032258064517,12.5,1.2096774193548387,8.858815731330097,Stable,Deviation from full-period green % = 8.9,THCAL-DBEA0A3F3860
STB-0E8C5FDFEF01,CAND-CFFC26CDAEA8,kpi_001,month,2026-02,87.94642857142857,11.160714285714286,0.8928571428571428,10.514921722113499,Moderately Stable,Deviation from full-period green % = 10.5,THCAL-DBEA0A3F3860
STB-AE96CCE81092,CAND-CFFC26CDAEA8,kpi_001,month,2026-03,79.43548387096774,16.129032258064516,4.435483870967742,2.0039770216526733,Stable,Deviation from full-period green % = 2.0,THCAL-DBEA0A3F3860
STB-2F00C81B14F3,CAND-CFFC26CDAEA8,kpi_001,month,2026-04,73.33333333333333,20.0,6.666666666666667,4.098173515981742,Stable,Deviation from full-period green % = 4.1,THCAL-DBEA0A3F3860
STB-D996638195B3,CAND-CFFC26CDAEA8,kpi_001,month,2026-05,73.79032258064517,19.35483870967742,6.854838709677419,3.641184268669903,Stable,Deviation from full-period green % = 3.6,THCAL-DBEA0A3F3860
STB-2672F74DB517,CAND-CFFC26CDAEA8,kpi_001,month,2026-06,63.74999999999999,29.166666666666668,7.083333333333333,13.681506849315078,Moderately Stable,Deviation from full-period green % = 13.7,THCAL-DBEA0A3F3860
STB-738167713159,CAND-CFFC26CDAEA8,kpi_001,month,2026-07,66.53225806451613,24.596774193548388,8.870967741935484,10.899248784798942,Moderately Stable,Deviation from full-period green % = 10.9,THCAL-DBEA0A3F3860
STB-B989F4F5458A,CAND-CFFC26CDAEA8,kpi_001,month,2026-08,82.25806451612904,14.516129032258066,3.225806451612903,4.826557666813969,Stable,Deviation from full-period green % = 4.8,THCAL-DBEA0A3F3860
STB-1C32DAE2943E,CAND-CFFC26CDAEA8,kpi_001,month,2026-09,79.58333333333333,16.25,4.166666666666666,2.151826484018258,Stable,Deviation from full-period green % = 2.2,THCAL-DBEA0A3F3860
STB-0E1E81B0991A,CAND-CFFC26CDAEA8,kpi_001,month,2026-10,77.82258064516128,17.338709677419356,4.838709677419355,0.3910737958462107,Stable,Deviation from full-period green % = 0.4,THCAL-DBEA0A3F3860
STB-FA2180AA8639,CAND-CFFC26CDAEA8,kpi_001,month,2026-11,78.33333333333333,17.083333333333332,4.583333333333333,0.9018264840182582,Stable,Deviation from full-period green % = 0.9,THCAL-DBEA0A3F3860
STB-8C6D5C02B813,CAND-CFFC26CDAEA8,kpi_001,month,2026-12,80.64516129032258,12.903225806451612,6.451612903225806,3.213654441007506,Stable,Deviation from full-period green % = 3.2,THCAL-DBEA0A3F3860
STB-ED078D9AAFD5,CAND-9132137F3353,kpi_001,hospital_id,HOSP-001,81.19863013698631,10.0,8.801369863013699,0.0,Stable,Deviation from full-period green % = 0.0,THCAL-DBEA0A3F3860
STB-1CF350F4742E,CAND-9132137F3353,kpi_001,month,2026-01,88.70967741935483,8.46774193548387,2.82258064516129,7.511047282368523,Stable,Deviation from full-period green % = 7.5,THCAL-DBEA0A3F3860
STB-FE6FE48A1BFC,CAND-9132137F3353,kpi_001,month,2026-02,89.73214285714286,7.5892857142857135,2.6785714285714284,8.533512720156551,Stable,Deviation from full-period green % = 8.5,THCAL-DBEA0A3F3860
STB-3E16176A92FB,CAND-9132137F3353,kpi_001,month,2026-03,85.08064516129032,7.258064516129033,7.661290322580645,3.8820150243040104,Stable,Deviation from full-period green % = 3.9,THCAL-DBEA0A3F3860
STB-5357E1301523,CAND-9132137F3353,kpi_001,month,2026-04,77.5,11.25,11.25,3.69863013698631,Stable,Deviation from full-period green % = 3.7,THCAL-DBEA0A3F3860
STB-32F02A7B3FED,CAND-9132137F3353,kpi_001,month,2026-05,76.20967741935483,12.903225806451612,10.887096774193548,4.988952717631477,Stable,Deviation from full-period green % = 5.0,THCAL-DBEA0A3F3860
STB-17508CDF0BAC,CAND-9132137F3353,kpi_001,month,2026-06,69.58333333333333,14.583333333333334,15.833333333333332,11.615296803652981,Moderately Stable,Deviation from full-period green % = 11.6,THCAL-DBEA0A3F3860
STB-C6853450C30B,CAND-9132137F3353,kpi_001,month,2026-07,70.56451612903226,14.919354838709678,14.516129032258066,10.634114007954054,Moderately Stable,Deviation from full-period green % = 10.6,THCAL-DBEA0A3F3860
STB-ABF7BE2F914F,CAND-9132137F3353,kpi_001,month,2026-08,86.29032258064517,8.064516129032258,5.64516129032258,5.091692443658857,Stable,Deviation from full-period green % = 5.1,THCAL-DBEA0A3F3860
STB-B4AF62BE4C33,CAND-9132137F3353,kpi_001,month,2026-09,83.33333333333334,9.583333333333334,7.083333333333333,2.134703196347033,Stable,Deviation from full-period green % = 2.1,THCAL-DBEA0A3F3860
STB-310C81CC3091,CAND-9132137F3353,kpi_001,month,2026-10,83.06451612903226,7.661290322580645,9.274193548387096,1.8658859920459463,Stable,Deviation from full-period green % = 1.9,THCAL-DBEA0A3F3860
STB-E025C0E2ED34,CAND-9132137F3353,kpi_001,month,2026-11,80.83333333333333,10.833333333333334,8.333333333333332,0.36529680365298134,Stable,Deviation from full-period green % = 0.4,THCAL-DBEA0A3F3860
STB-962FF3CBCECF,CAND-9132137F3353,kpi_001,month,2026-12,83.87096774193549,6.854838709677419,9.274193548387096,2.6723376049491776,Stable,Deviation from full-period green % = 2.7,THCAL-DBEA0A3F3860
STB-2091A058E582,CAND-D39195440C4F,kpi_001,hospital_id,HOSP-001,27.328767123287673,50.1027397260274,22.568493150684933,0.0,Stable,Deviation from full-period green % = 0.0,THCAL-DBEA0A3F3860
STB-84978961B7A2,CAND-D39195440C4F,kpi_001,month,2026-01,41.12903225806452,45.16129032258064,13.709677419354838,13.800265134776847,Moderately Stable,Deviation from full-period green % = 13.8,THCAL-DBEA0A3F3860
STB-B919A9E47F3E,CAND-D39195440C4F,kpi_001,month,2026-02,34.375,53.57142857142857,12.053571428571429,7.0462328767123275,Stable,Deviation from full-period green % = 7.0,THCAL-DBEA0A3F3860
STB-3E57AFDF6BCF,CAND-D39195440C4F,kpi_001,month,2026-03,32.66129032258064,46.774193548387096,20.56451612903226,5.332523199292968,Stable,Deviation from full-period green % = 5.3,THCAL-DBEA0A3F3860
