processing_run_id,issue_id,source_dataset_name,processed_dataset_name,source_primary_key,source_row_number,field_name,issue_type,severity,issue_description,source_value,processed_value,resolution_action,exclusion_flag,blocks_processing,created_datetime
PROC-QCS-92010F32B162,64c10262-3c60-4849-af92-4d9f4087543b,patient_queue_records,processed_patient_queue,QUEUE-000000002,3,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161776
PROC-QCS-92010F32B162,88aa86c3-d633-48f4-b373-5be40e319c22,patient_queue_records,processed_patient_queue,QUEUE-000000008,9,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161831
PROC-QCS-92010F32B162,1d2380a8-59d2-4ef7-8c9e-d8b460df25a4,patient_queue_records,processed_patient_queue,QUEUE-000000012,13,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161866
PROC-QCS-92010F32B162,f04db7fb-523c-476d-a5a6-0395ee1bc704,patient_queue_records,processed_patient_queue,QUEUE-000000014,15,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161893
PROC-QCS-92010F32B162,38af1bae-62a8-4b03-8343-01dd0cfa4aec,patient_queue_records,processed_patient_queue,QUEUE-000000017,18,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161940
PROC-QCS-92010F32B162,5732457a-1420-433d-81b7-36b355300d0f,patient_queue_records,processed_patient_queue,QUEUE-000000020,21,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.161970
PROC-QCS-92010F32B162,c728df82-98e1-4614-b933-e7436e11db21,patient_queue_records,processed_patient_queue,QUEUE-000000021,22,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Billing,,,False,False,2026-07-26T08:37:02.161998
PROC-QCS-92010F32B162,7401a8cb-4d76-4bb9-8688-3b1d0e13be78,patient_queue_records,processed_patient_queue,QUEUE-000000023,24,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Billing,,,False,False,2026-07-26T08:37:02.162022
PROC-QCS-92010F32B162,9eaaa05e-c586-46aa-a084-8ce8069cc6b6,patient_queue_records,processed_patient_queue,QUEUE-000000024,25,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Radiology,,,False,False,2026-07-26T08:37:02.162044
PROC-QCS-92010F32B162,4fee24ab-bfd7-4ef5-97c4-a0dc984d1204,patient_queue_records,processed_patient_queue,QUEUE-000000025,26,queue_stage,Unsupported Queue Stage,Information,Queue stage outside approved categorical list.,Billing,,,False,False,2026-07-26T08:37:02.162067
