dataset_name,schema_status,required_fields,optional_fields
processed_hospital_master,Registered,12,2
processed_department_master,Registered,15,2
processed_staff_role_master,Registered,12,2
processed_staff_master,Registered,14,2
processed_staff_roster,Registered,22,1
processed_staff_attendance,Registered,30,1
processed_staffing_requirement,Registered,17,1
processed_workforce_daily,Registered,30,0
processed_patient_encounters,Registered,27,1
processed_patient_queue,Registered,21,1
processed_bed_capacity,Registered,21,1
processed_service_schedule,Registered,21,1
processed_patient_flow_daily,Registered,31,0
processed_patient_complaints,Registered,33,2
processed_patient_surveys,Registered,33,2
processed_patient_experience_daily,Registered,35,0
processed_operational_daily,Registered,9,49
