dataset_name,file_path,expected_row_count,actual_row_count,expected_primary_key,duplicate_key_count,required_columns_present,schema_status,checksum_status,immutability_status,acceptance_status,notes
processed_hospital_master,data/processed/processed_hospital_master.csv,1,1,hospital_id,0,True,Passed,Passed,Passed,Passed,
processed_department_master,data/processed/processed_department_master.csv,8,8,department_id,0,True,Passed,Passed,Passed,Passed,
processed_staff_role_master,data/processed/processed_staff_role_master.csv,9,9,staff_role_id,0,True,Passed,Passed,Passed,Passed,
processed_staff_master,data/processed/processed_staff_master.csv,180,180,staff_id,0,True,Passed,Passed,Passed,Passed,
processed_staff_roster,data/processed/processed_staff_roster.csv,41495,41495,roster_record_id,0,True,Passed,Passed,Passed,Passed,
processed_staff_attendance,data/processed/processed_staff_attendance.csv,41495,41495,attendance_record_id,0,True,Passed,Passed,Passed,Passed,
processed_staffing_requirement,data/processed/processed_staffing_requirement.csv,78840,78840,staffing_requirement_id,0,True,Passed,Passed,Passed,Passed,
processed_workforce_daily,data/processed/processed_workforce_daily.csv,26280,26280,workforce_daily_id,0,True,Passed,Passed,Passed,Passed,
processed_patient_encounters,data/processed/processed_patient_encounters.csv,93958,93958,encounter_id,0,True,Passed,Passed,Passed,Passed,
processed_patient_queue,data/processed/processed_patient_queue.csv,1095,1095,queue_record_id,0,True,Passed,Passed,Passed,Passed,
processed_bed_capacity,data/processed/processed_bed_capacity.csv,1095,1095,bed_capacity_record_id,0,True,Passed,Passed,Passed,Passed,
processed_service_schedule,data/processed/processed_service_schedule.csv,8760,8760,service_schedule_id,0,True,Passed,Passed,Passed,Passed,
processed_patient_flow_daily,data/processed/processed_patient_flow_daily.csv,2920,2920,patient_flow_daily_id,0,True,Passed,Passed,Passed,Passed,
