analytical_record_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,kpi_id,kpi_name,domain,numerator_value,denominator_value,kpi_value,unit,calculation_status,readiness_status,threshold_status,threshold_version,threshold_approval_status,threshold_is_provisional,configuration_version,data_confidence_level,confidence_rule_version,source_dataset,source_record_id,calculation_run_id,calculated_at
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644,2026-07-27T14:43:24.878670
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,,,kpi_006,Patient Satisfaction Score,Patient Experience,4.0,1.0,4.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644,2026-07-27T14:43:24.881354
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644,2026-07-27T14:43:24.885095
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644,2026-07-27T14:43:24.886907
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644,2026-07-27T14:43:24.893027
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,,,kpi_006,Patient Satisfaction Score,Patient Experience,4.0,1.0,4.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644,2026-07-27T14:43:24.894763
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644,2026-07-27T14:43:24.898068
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644,2026-07-27T14:43:24.899685
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644,2026-07-27T14:43:24.902942
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644,2026-07-27T14:43:24.904678
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644,2026-07-27T14:43:24.909657
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644,2026-07-27T14:43:24.911404
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,,,kpi_005,Patient Complaint Rate,Patient Experience,,,,Complaints per 1000 encounters,Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644,2026-07-27T14:43:24.914911
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,,,kpi_006,Patient Satisfaction Score,Patient Experience,,,,Score (1-5 scale),Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644,2026-07-27T14:43:24.916713
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644,2026-07-27T14:43:24.918721
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644,2026-07-27T14:43:24.920462
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644,2026-07-27T14:43:24.925903
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644,2026-07-27T14:43:24.927773
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644,2026-07-27T14:43:24.931394
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644,2026-07-27T14:43:24.933190
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,,,kpi_005,Patient Complaint Rate,Patient Experience,,,,Complaints per 1000 encounters,Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644,2026-07-27T14:43:24.936798
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,,,kpi_006,Patient Satisfaction Score,Patient Experience,,,,Score (1-5 scale),Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644,2026-07-27T14:43:24.940666
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644,2026-07-27T14:43:24.944069
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644,2026-07-27T14:43:24.945927
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644,2026-07-27T14:43:24.949617
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644,2026-07-27T14:43:24.951319
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644,2026-07-27T14:43:24.956321
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,,,kpi_006,Patient Satisfaction Score,Patient Experience,10.0,3.0,3.3333333333333335,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644,2026-07-27T14:43:24.960927
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644,2026-07-27T14:43:24.965014
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,,,kpi_006,Patient Satisfaction Score,Patient Experience,4.0,1.0,4.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644,2026-07-27T14:43:24.966772
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644,2026-07-27T14:43:24.970389
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,,,kpi_006,Patient Satisfaction Score,Patient Experience,4.0,1.0,4.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644,2026-07-27T14:43:24.974840
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644,2026-07-27T14:43:24.978853
