evidence_record_id,relationship_record_id,evidence_type,source_reference,records_used,calculation_method,result_summary,engine_run_id,processed_at
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.6971; Spearman=-0.6763,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,307.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0605; Spearman=0.1031,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,307.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0243; Spearman=-0.0678,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.6306; Spearman=-0.6062,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.1573; Spearman=-0.1472,RELCF-20260728043649,2026-07-28T04:37:58.486833
