lineage_id,scenario_run_id,source_type,source_id,source_file,link_type,recorded_at
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.653508
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.653536
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.653543
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.653548
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.653552
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.653556
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.688758
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.688764
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.688769
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.688774
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.688779
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.688783
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.692844
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.692851
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.692858
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.692864
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.692870
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.692876
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.699434
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.699439
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.699444
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.699448
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.699452
LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.699455
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0,SR-BL-8967EE194089397D-COMP-BASE-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.706970
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1,SR-BL-8967EE194089397D-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.706977
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2,SR-BL-8967EE194089397D-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.706981
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3,SR-BL-8967EE194089397D-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.706986
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4,SR-BL-8967EE194089397D-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.706990
LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,SR-BL-8967EE194089397D-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.706994
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0,SR-BL-8967EE194089397D-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.713661
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1,SR-BL-8967EE194089397D-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.713672
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2,SR-BL-8967EE194089397D-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.713680
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3,SR-BL-8967EE194089397D-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.713689
