interpretation_id,approval_package_id,scenario_template_id,episode_id,scenario_family,comparator_summary,primary_kpi_effect,supporting_kpi_effects,adverse_effects,displacement_risk,assumption_drivers,management_validation_required,sensitivity_classification,diminishing_return_classification,trade_off_band,management_readiness,interpretation_text
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (13.333333333333329%); Expected: Increase (20.0%); Higher Intensity: Increase (20.0%),Staffing coverage adjusted from 80.00% to 100.00%. Adjusted available staff: 17.0 (required: 15.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (13.333333333333329%); Expected: Increase (20.0%); Higher Intensity: Increase (20.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (22.222222222222214%); Higher Intensity: Increase (22.222222222222214%),Staffing coverage adjusted from 77.78% to 100.00%. Adjusted available staff: 19.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (22.222222222222214%); Higher Intensity: Increase (22.222222222222214%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Staffing Coverage Adjustment,Baseline: Decrease (-0.21447133070095958%); Conservative: Increase (11.833721440383371%); Expected: Increase (15.448179271708682%); Higher Intensity: Increase (15.448179271708682%),Staffing coverage adjusted from 84.55% to 100.00%. Adjusted available staff: 19.0 (required: 16.6).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Direction Reversal,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328 (SCEN-STAFF-001): Comparators show Baseline: Decrease (-0.21447133070095958%); Conservative: Increase (11.833721440383371%); Expected: Increase (15.448179271708682%); Higher Intensity: Increase (15.448179271708682%). Sensitivity: Direction Reversal. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%),Staffing coverage adjusted from 78.57% to 100.00%. Adjusted available staff: 16.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.764705882352942%); Expected: Increase (29.411764705882348%); Higher Intensity: Increase (35.294117647058826%),Staffing coverage adjusted from 64.71% to 94.12%. Adjusted available staff: 16.0 (required: 17.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.764705882352942%); Expected: Increase (29.411764705882348%); Higher Intensity: Increase (35.294117647058826%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.111111111111128%); Expected: Increase (27.777777777777786%); Higher Intensity: Increase (27.777777777777786%),Staffing coverage adjusted from 72.22% to 100.00%. Adjusted available staff: 18.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.111111111111128%); Expected: Increase (27.777777777777786%); Higher Intensity: Increase (27.777777777777786%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (8.695652173913047%); Expected: Increase (21.739130434782624%); Higher Intensity: Increase (26.08695652173914%),Staffing coverage adjusted from 73.91% to 95.65%. Adjusted available staff: 22.0 (required: 23.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (8.695652173913047%); Expected: Increase (21.739130434782624%); Higher Intensity: Increase (26.08695652173914%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (9.523809523809533%); Expected: Increase (19.04761904761905%); Higher Intensity: Increase (19.04761904761905%),Staffing coverage adjusted from 80.95% to 100.00%. Adjusted available staff: 22.0 (required: 21.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (9.523809523809533%); Expected: Increase (19.04761904761905%); Higher Intensity: Increase (19.04761904761905%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
