hospital_id,department_id,reporting_date,department_risk_record_id,evidence_pack_id,engine_run_id,processed_at
HOSP-001,DEPT-ICU,2026-01-01,DRS-CB22521365D6,DEP-EP-C83D6D7F33CC,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-01,DRS-246354D2F589,DEP-EP-41251D7B64C8,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-01,DRS-DD4D602FE71F,DEP-EP-96F7726407BF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-01,DRS-2652EC1BEDBA,DEP-EP-6736C6AB5E34,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-01,DRS-7DC63D69A981,DEP-EP-085C9D159D82,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-01,DRS-63C7A2DDACA3,DEP-EP-76FB5F0A1192,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-01,DRS-F863B7B0785F,DEP-EP-6EA45532C141,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-01,DRS-8D008EBC6EB9,DEP-EP-C537262B07AD,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-02,DRS-83502370D160,DEP-EP-0CCEB0E07B59,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-02,DRS-FE0DA273399C,DEP-EP-01558200398D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ICU,2026-01-02,DRS-9D589B09D0C3,DEP-EP-1C239F186C08,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-02,DRS-27DB64C68A82,DEP-EP-C20A3AA45221,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-02,DRS-FC387EFF9460,DEP-EP-199C46086F0F,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-02,DRS-63A16FF143CF,DEP-EP-BD19456AECAF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-02,DRS-5F5DA44F9CB2,DEP-EP-9C0D2F6C9B2E,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-02,DRS-8ACEAC398C87,DEP-EP-90347F9E21BE,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-03,DRS-49ABF76C7D4B,DEP-EP-B17BD3B5B23B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-03,DRS-8CDF64EA14BA,DEP-EP-35D498EB23F9,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-03,DRS-6AEAE203DE12,DEP-EP-D631F50ACF34,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ICU,2026-01-03,DRS-FA0496900FFF,DEP-EP-1FE0839774D4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-03,DRS-713F26C7BA98,DEP-EP-86BEFE455035,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-03,DRS-8C7AC8E40F4C,DEP-EP-2DC83F4DB6A0,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
