hospital_id,department_id,reporting_date,present_kpi_count,calculated_kpi_count,unavailable_kpi_count,expected_kpi_count,missing_kpi_count,coverage_percentage,coverage_status,reporting_month,reporting_year,coverage_record_id,integration_run_id,created_at
HOSP-001,DEPT-ADM,2026-01-01,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260101,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-02,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260102,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-03,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260103,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-04,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260104,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-05,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260105,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-06,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260106,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-07,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260107,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-08,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260108,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-09,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260109,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-10,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260110,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-11,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260111,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-12,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260112,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-13,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260113,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-14,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260114,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-15,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260115,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-16,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260116,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-17,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260117,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-18,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260118,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-19,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260119,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-20,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260120,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-21,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260121,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-22,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260122,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-23,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260123,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-24,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260124,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-25,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260125,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-26,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260126,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-27,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260127,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-28,6,2,4,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260128,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-29,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260129,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-30,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260130,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-01-31,6,3,3,6,0,100.0,Complete,1,2026,COV-HOSP-001-DEPT-ADM-20260131,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-02-01,6,3,3,6,0,100.0,Complete,2,2026,COV-HOSP-001-DEPT-ADM-20260201,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
HOSP-001,DEPT-ADM,2026-02-02,6,3,3,6,0,100.0,Complete,2,2026,COV-HOSP-001-DEPT-ADM-20260202,SIX-KPI-8EC2F4190438,2026-07-27T15:23:26.799565
