movement_record_id,hospital_id,department_id,kpi_id,movement_type,sequence_start_date,sequence_end_date,consecutive_observation_count,starting_value,ending_value,cumulative_absolute_change,cumulative_percentage_change,calculation_status,interpretation_status,trend_confidence_level,trend_run_id,calculated_at
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260103-20260105,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-01-03,2026-01-05,3,90.47619047619048,100.0,9.523809523809518,10.526315789473678,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897797
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260105-20260107,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-05,2026-01-07,3,100.0,80.0,-20.0,-20.0,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897819
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260107-20260109,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-01-07,2026-01-09,3,80.0,100.0,20.0,25.0,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897827
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260109-20260111,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-09,2026-01-11,3,100.0,82.35294117647058,-17.64705882352942,-17.64705882352942,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897833
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260112-20260114,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-12,2026-01-14,3,100.0,86.66666666666667,-13.333333333333329,-13.333333333333327,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897839
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260118-20260121,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-18,2026-01-21,4,100.0,82.35294117647058,-17.64705882352942,-17.64705882352942,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897847
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260124-20260126,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-24,2026-01-26,3,100.0,90.0,-10.0,-10.0,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897854
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260129-20260131,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-01-29,2026-01-31,3,92.85714285714286,84.21052631578947,-8.646616541353396,-9.311740890688272,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897859
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260206-20260208,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-02-06,2026-02-08,3,90.9090909090909,100.0,9.090909090909093,10.000000000000004,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897866
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260209-20260211,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-02-09,2026-02-11,3,77.77777777777779,93.75,15.972222222222214,20.535714285714274,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897871
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260214-20260216,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-02-14,2026-02-16,3,87.5,95.23809523809524,7.738095238095241,8.84353741496599,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897876
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260220-20260222,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-02-20,2026-02-22,3,100.0,87.5,-12.5,-12.5,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897890
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260222-20260224,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-02-22,2026-02-24,3,87.5,91.30434782608695,3.8043478260869534,4.347826086956518,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897895
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260224-20260226,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-02-24,2026-02-26,3,91.30434782608695,86.36363636363636,-4.940711462450594,-5.4112554112554125,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897899
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260302-20260304,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-03-02,2026-03-04,3,94.73684210526316,100.0,5.263157894736835,5.555555555555548,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897905
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260305-20260307,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-03-05,2026-03-07,3,86.95652173913044,100.0,13.043478260869563,14.999999999999996,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897909
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260313-20260316,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-03-13,2026-03-16,4,86.36363636363636,100.0,13.63636363636364,15.789473684210531,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897916
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260320-20260322,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-03-20,2026-03-22,3,95.23809523809524,84.21052631578947,-11.027568922305775,-11.578947368421064,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897923
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260322-20260325,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-03-22,2026-03-25,4,84.21052631578947,100.0,15.789473684210535,18.75000000000001,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897927
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260325-20260328,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-03-25,2026-03-28,4,100.0,83.33333333333334,-16.666666666666657,-16.666666666666657,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897931
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260329-20260331,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-03-29,2026-03-31,3,83.33333333333334,92.85714285714286,9.523809523809518,11.428571428571422,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897936
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260408-20260410,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-04-08,2026-04-10,3,90.0,83.33333333333334,-6.666666666666657,-7.407407407407398,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897943
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260410-20260412,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-04-10,2026-04-12,3,83.33333333333334,88.88888888888889,5.555555555555543,6.666666666666651,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897947
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260412-20260414,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-04-12,2026-04-14,3,88.88888888888889,84.21052631578947,-4.67836257309942,-5.263157894736848,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897951
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260414-20260416,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-04-14,2026-04-16,3,84.21052631578947,100.0,15.789473684210535,18.75000000000001,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897954
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260416-20260418,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-04-16,2026-04-18,3,100.0,89.47368421052632,-10.526315789473685,-10.526315789473685,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897958
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260424-20260426,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-04-24,2026-04-26,3,90.0,94.73684210526316,4.736842105263165,5.26315789473685,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897965
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260430-20260502,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-04-30,2026-05-02,3,85.71428571428571,95.65217391304348,9.937888198757776,11.594202898550739,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897971
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260504-20260506,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-05-04,2026-05-06,3,100.0,75.0,-25.0,-25.0,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897976
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260506-20260508,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-05-06,2026-05-08,3,75.0,94.73684210526316,19.736842105263165,26.31578947368422,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897980
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260515-20260518,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-05-15,2026-05-18,4,86.95652173913044,100.0,13.043478260869563,14.999999999999996,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897987
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260522-20260525,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-05-22,2026-05-25,4,100.0,85.71428571428571,-14.285714285714292,-14.28571428571429,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.897994
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260530-20260602,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-05-30,2026-06-02,4,95.23809523809524,83.33333333333334,-11.904761904761898,-12.499999999999993,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898000
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260602-20260605,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-06-02,2026-06-05,4,83.33333333333334,95.0,11.666666666666657,13.999999999999988,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898005
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260608-20260610,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-06-08,2026-06-10,3,75.0,90.9090909090909,15.909090909090907,21.21212121212121,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898010
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260611-20260613,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-06-11,2026-06-13,3,85.71428571428571,94.73684210526316,9.022556390977456,10.526315789473701,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898014
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260620-20260622,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-06-20,2026-06-22,3,84.21052631578947,88.88888888888889,4.67836257309942,5.5555555555555625,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898021
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260622-20260624,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-06-22,2026-06-24,3,88.88888888888889,84.0,-4.888888888888886,-5.4999999999999964,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898025
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260625-20260627,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-06-25,2026-06-27,3,94.73684210526316,90.9090909090909,-3.827751196172258,-4.0404040404040495,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898029
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260630-20260703,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-06-30,2026-07-03,4,100.0,76.47058823529412,-23.529411764705884,-23.529411764705884,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898035
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260704-20260706,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-07-04,2026-07-06,3,100.0,83.33333333333334,-16.666666666666657,-16.666666666666657,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898039
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260714-20260716,HOSP-001,DEPT-ADM,kpi_001,Sustained Decrease,2026-07-14,2026-07-16,3,90.47619047619048,82.35294117647058,-8.123249299719902,-8.978328173374628,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898047
TMOV-kpi_001-HOSP-001-DEPT-ADM-20260723-20260725,HOSP-001,DEPT-ADM,kpi_001,Sustained Increase,2026-07-23,2026-07-25,3,94.44444444444444,95.0,0.5555555555555571,0.5882352941176487,Calculated,Provisional,Medium,TREND-79BED8FC382A,2026-07-27 16:41:24.898054
