lineage_id,analytical_record_id,kpi_id,source_dataset,source_record_id,transformation_name,calculation_run_id,created_at
LIN-C6E7962C,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260101,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.463296
LIN-8C53860C,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260101,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260101,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.464491
LIN-C419C74B,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260102,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.465363
LIN-C5D4BDE6,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260102,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260102,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.466075
LIN-45050BD1,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260103,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.466840
LIN-36F05FBD,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260103,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260103,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.467591
LIN-DF375A0A,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260104,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.468329
LIN-EF88608F,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260104,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260104,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.468992
LIN-CB8FB158,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260105,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.469774
LIN-A7F70E5C,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260105,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260105,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.470437
LIN-92D1C360,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260106,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.471201
LIN-620D1373,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260106,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260106,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.471912
LIN-FF39A6A5,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260107,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.472637
LIN-51BD7F8B,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260107,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260107,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.473333
LIN-639E7B72,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260108,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.474063
LIN-BBF9839C,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260108,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260108,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.474746
LIN-E8FE82A3,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260109,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.475495
LIN-460ED756,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260109,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260109,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.476167
LIN-8D46A2B5,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260110,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.476990
LIN-71E88579,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260110,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260110,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.478576
LIN-F1E0BCDA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260111,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.479689
LIN-2282A1D8,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260111,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260111,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.480506
LIN-5D22EE30,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260112,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.481278
LIN-A7D02AC7,AKPI-kpi_002-HOSP-001-DEPT-ADM-20260112,kpi_002,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260112,calculate_kpi_002,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.481933
LIN-7B5F7C5B,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,kpi_001,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260113,calculate_kpi_001,WF-KPI-AE9BC170EF5F,2026-07-27T10:44:26.482630
