lineage_id,analytical_record_id,kpi_id,source_dataset,source_record_id,transformation_name,calculation_run_id,created_at
LIN-6D8417D7,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260101,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260101,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.580816
LIN-9E7CDAF9,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260102,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260102,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.581980
LIN-DB618A43,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260103,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260103,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.583018
LIN-EAC57F74,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260104,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260104,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.584263
LIN-8EB0AB5A,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260105,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260105,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.585328
LIN-BFC2340E,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260106,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260106,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.586289
LIN-235953A6,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260107,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260107,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.587867
LIN-786A72A5,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260108,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260108,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.589490
LIN-19CD97E2,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260109,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260109,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.590814
LIN-565757E2,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260110,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260110,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.591854
LIN-17D84095,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260111,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260111,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.592934
LIN-B7B64354,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260112,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260112,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.593870
LIN-2BB03640,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260113,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260113,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.594862
LIN-6F983B5D,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260114,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260114,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.595792
LIN-369F5F59,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260115,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260115,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.596730
LIN-2A5254E9,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260116,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260116,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.597680
LIN-FFC7583D,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260117,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260117,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.598581
LIN-0A5FF8F6,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260118,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260118,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.599566
LIN-05E1D4C8,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260119,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260119,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.600745
LIN-A1026284,AKPI-kpi_003-HOSP-001-DEPT-ADM-20260120,kpi_003,processed_operational_daily,OPD-HOSP-001-DEPT-ADM-20260120,calculate_kpi_003,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.601797
