episode_id,hospital_id,department_id,department_name,episode_start_date,episode_end_date,linked_case_count,maximum_risk_score,maximum_urgency,priority_tiers,dominant_kpi_id,dominant_kpi_name,representative_recommendation,representative_recommendation_id,persistence_summary,episode_grouping_basis,episode_grouping_kpi_id
EP-HOSP-001-DEPT-ADM-kpi_001-20260108,HOSP-001,DEPT-ADM,Admissions,2026-01-08,2026-01-08,1,56.37,Prompt Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260108-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-01-08 to 2026-01-08. Max risk: 56.4. Max urgency: Prompt Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260116,HOSP-001,DEPT-ADM,Admissions,2026-01-16,2026-01-16,1,53.1,Prompt Review,Elevated,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260116-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-01-16 to 2026-01-16. Max risk: 53.1. Max urgency: Prompt Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260209,HOSP-001,DEPT-ADM,Admissions,2026-02-09,2026-02-09,1,67.87,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260209-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-02-09 to 2026-02-09. Max risk: 67.9. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260328,HOSP-001,DEPT-ADM,Admissions,2026-03-28,2026-04-01,3,69.63,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260401-OPT1,Dominant KPI Staffing Level persisted across 3 reporting date(s) from 2026-03-28 to 2026-04-01. Max risk: 69.6. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260410,HOSP-001,DEPT-ADM,Admissions,2026-04-10,2026-04-10,1,62.63,Prompt Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260410-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-04-10 to 2026-04-10. Max risk: 62.6. Max urgency: Prompt Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260420,HOSP-001,DEPT-ADM,Admissions,2026-04-20,2026-04-20,1,72.91,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260420-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-04-20 to 2026-04-20. Max risk: 72.9. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260506,HOSP-001,DEPT-ADM,Admissions,2026-05-06,2026-05-06,1,71.49,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260506-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-05-06 to 2026-05-06. Max risk: 71.5. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260602,HOSP-001,DEPT-ADM,Admissions,2026-06-02,2026-06-02,1,46.59,Prompt Review,Elevated,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260602-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-06-02 to 2026-06-02. Max risk: 46.6. Max urgency: Prompt Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260608,HOSP-001,DEPT-ADM,Admissions,2026-06-08,2026-06-08,1,85.74,Immediate Review,Critical,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260608-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-06-08 to 2026-06-08. Max risk: 85.7. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260721,HOSP-001,DEPT-ADM,Admissions,2026-07-21,2026-07-21,1,70.25,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260721-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-07-21 to 2026-07-21. Max risk: 70.3. Max urgency: Immediate Review.,dominant_kpi,kpi_001
