dataset_type,canonical_name,alias,alias_confidence,schema_profile
Staff Roster,staff_name,staff_name,High,GENERIC_UPLOAD
Staff Roster,staff_name,employee_name,Moderate,GENERIC_UPLOAD
Staff Roster,role,role,High,GENERIC_UPLOAD
Staff Roster,role,job_title,Moderate,GENERIC_UPLOAD
Staff Roster,department,department,High,GENERIC_UPLOAD
Staff Roster,department,dept,Moderate,GENERIC_UPLOAD
Staff Roster,employment_status,employment_status,High,GENERIC_UPLOAD
Staff Attendance,date,date,High,GENERIC_UPLOAD
Staff Attendance,date,attendance_date,High,GENERIC_UPLOAD
Staff Attendance,shift,shift,High,GENERIC_UPLOAD
Staff Attendance,attendance_status,attendance_status,High,GENERIC_UPLOAD
Patient Encounters,date,date,High,GENERIC_UPLOAD
Patient Encounters,date,encounter_date,High,GENERIC_UPLOAD
Patient Encounters,department,department,High,GENERIC_UPLOAD
Patient Encounters,patient_type,patient_type,High,GENERIC_UPLOAD
Patient Encounters,outcome,outcome,High,GENERIC_UPLOAD
Bed Occupancy,date,date,High,GENERIC_UPLOAD
Bed Occupancy,date,record_date,High,GENERIC_UPLOAD
Bed Occupancy,ward,ward,High,GENERIC_UPLOAD
Bed Occupancy,beds_total,beds_total,High,GENERIC_UPLOAD
Bed Occupancy,beds_occupied,beds_occupied,High,GENERIC_UPLOAD
Patient Queue,date,date,High,GENERIC_UPLOAD
Patient Queue,date,queue_date,High,GENERIC_UPLOAD
Patient Queue,department,department,High,GENERIC_UPLOAD
Patient Queue,arrivals,arrivals,High,GENERIC_UPLOAD
Patient Queue,avg_wait_min,avg_wait_min,High,GENERIC_UPLOAD
Patient Complaints,date,date,High,GENERIC_UPLOAD
Patient Complaints,date,complaint_date,High,GENERIC_UPLOAD
Patient Complaints,category,category,High,GENERIC_UPLOAD
Patient Complaints,severity,severity,High,GENERIC_UPLOAD
Patient Complaints,description,description,High,GENERIC_UPLOAD
Patient Complaints,status,status,High,GENERIC_UPLOAD
Patient Survey,date,date,High,GENERIC_UPLOAD
Patient Survey,date,survey_date,High,GENERIC_UPLOAD
Patient Survey,department,department,High,GENERIC_UPLOAD
