financial_input_id,financial_input_name,financial_category,unit,currency_code,default_value,minimum_value,maximum_value,source_reference,confidence_level,editable_flag,stakeholder_validation_required,configuration_version,effective_start_date,approval_status,validation_status,governance_note
FIN-OVERTIME-HOUR,Overtime Hourly Rate,Workforce Cost,MYR per hour,MYR,25.00,15.00,50.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Assumed rate for Malaysia public hospital overtime
FIN-TEMP-STAFF-DAY,Temporary Staff Daily Rate,Workforce Cost,MYR per staff per day,MYR,120.00,80.00,200.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Agency temporary staffing daily rate assumption
FIN-ADD-SHIFT,Additional Shift Cost,Workforce Cost,MYR per shift,MYR,180.00,120.00,300.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Cost of one additional full shift coverage
FIN-TRAIN-SESS,Training Session Cost,Workforce Cost,MYR per session,MYR,350.00,200.00,600.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Per-session training cost including materials and facilitator time
FIN-EXT-SVC-HOUR,External Service Hour Cost,Patient-Flow Cost,MYR per hour,MYR,45.00,30.00,80.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,External clinic or support service hourly rate
FIN-TEMP-CAP-DAY,Temporary Capacity Daily Cost,Patient-Flow Cost,MYR per day,MYR,500.00,300.00,900.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Temporary bed or space capacity daily rental
FIN-EQUIP-RENT-DAY,Equipment Rental Daily Cost,Capacity Cost,MYR per day,MYR,80.00,40.00,150.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Medical or administrative equipment daily rental
FIN-IMPL-LABOUR,Implementation Labour Cost,Implementation Cost,MYR,MYR,1200.00,600.00,2500.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,One-time implementation labour estimate
FIN-PROJ-MGMT,Project Management Cost,Implementation Cost,MYR,MYR,800.00,400.00,1500.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Project management time for intervention setup
FIN-MONITOR-MONTH,Recurring Monitoring Monthly Cost,Implementation Cost,MYR per month,MYR,300.00,150.00,600.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Monthly monitoring and evaluation cost
FIN-ADMIN-BURDEN,Administrative Burden Cost,Indirect Cost,MYR per month,MYR,200.00,100.00,400.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Additional administrative workload monthly estimate
FIN-AVOID-OT-HOUR,Avoided Overtime Hourly Value,Benefit,MYR per hour,MYR,25.00,15.00,50.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Value of one avoided overtime hour
FIN-AVOID-TEMP-DAY,Avoided Temporary Staff Daily Value,Benefit,MYR per staff per day,MYR,120.00,80.00,200.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Value of one avoided temporary staff day
FIN-QUEUE-REDUCT-VAL,Queue Reduction Value,Benefit,MYR per patient,MYR,15.00,8.00,30.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Estimated operational value of reducing one patient wait
FIN-CANCEL-AVOID-VAL,Avoided Cancellation Value,Benefit,MYR per cancellation,MYR,120.00,60.00,250.00,Draft Analytical Assumption,Low,true,true,v1.0-draft,2026-07-29,Draft Analytical Configuration,Provisional,Estimated value of avoiding one procedure cancellation
