assumption_id,assumption_set_id,scenario_template_id,assumption_name,assumption_description,assumption_type,unit,data_type,affected_kpi,supporting_kpi,governance_rule,required_flag,null_allowed
A001,ASSUM-STAFF-001,SCEN-STAFF-001,baseline_required_staff,Observed required staff establishment for the department and date,Observed Baseline,Count,Integer,kpi_001,,RULE-BASELINE-IMMUTABLE,True,False
A002,ASSUM-STAFF-001,SCEN-STAFF-001,baseline_available_staff,Observed available staff count for the department and date,Observed Baseline,Count,Integer,kpi_001,,RULE-BASELINE-IMMUTABLE,True,False
A003,ASSUM-STAFF-001,SCEN-STAFF-001,baseline_staffing_coverage_pct,Observed staffing coverage percentage (available / required),Derived Parameter,Percent,Decimal,kpi_001,,RULE-DERIVED-FROM-BASELINE,True,False
A004,ASSUM-STAFF-001,SCEN-STAFF-001,additional_staff_count,Number of additional staff to deploy (temporary or reassigned),User-Entered Intervention,Count,Integer,kpi_001,,RULE-RANGE-STAFF-COUNT,True,False
A005,ASSUM-STAFF-001,SCEN-STAFF-001,additional_covered_shifts,Number of additional shifts to be covered by additional staff,User-Entered Intervention,Count,Integer,kpi_001,,RULE-RANGE-SHIFT-COUNT,False,True
A006,ASSUM-STAFF-001,SCEN-STAFF-001,staff_reassignment_count,Number of staff reassigned from other departments or duties,User-Entered Intervention,Count,Integer,kpi_001,,RULE-RANGE-STAFF-COUNT,False,True
A007,ASSUM-STAFF-001,SCEN-STAFF-001,temporary_staff_count,Number of temporary or agency staff specifically engaged,User-Entered Intervention,Count,Integer,kpi_001,,RULE-RANGE-STAFF-COUNT,False,True
A008,ASSUM-STAFF-001,SCEN-STAFF-001,uncovered_shift_reduction_pct,Percentage reduction in uncovered shifts expected from intervention,User-Entered Intervention,Percent,Decimal,kpi_001,,RULE-RANGE-PERCENT-REDUCTION,False,True
A009,ASSUM-STAFF-001,SCEN-STAFF-001,intervention_duration_days,Duration of the staffing intervention in calendar days,User-Entered Intervention,Days,Integer,kpi_001,,RULE-RANGE-DURATION,True,False
A010,ASSUM-STAFF-001,SCEN-STAFF-001,temporary_staff_productivity_ratio,Relative productivity of temporary staff compared to permanent (1.0 = equal),User-Entered Intervention,Ratio,Decimal,kpi_001,,RULE-RANGE-PRODUCTIVITY,True,False
A101,ASSUM-ABS-001,SCEN-ABS-001,baseline_absenteeism_rate,Observed absenteeism rate for the department and date,Observed Baseline,Percent,Decimal,kpi_002,,RULE-BASELINE-IMMUTABLE,True,False
A102,ASSUM-ABS-001,SCEN-ABS-001,assumed_absenteeism_reduction_pct,Assumed percentage reduction in absenteeism rate from intervention,User-Entered Intervention,Percent,Decimal,kpi_002,,RULE-RANGE-PERCENT-REDUCTION,True,False
A103,ASSUM-ABS-001,SCEN-ABS-001,replacement_coverage_pct,Percentage of absent staff shifts that will be covered by replacement,User-Entered Intervention,Percent,Decimal,kpi_002,kpi_001,RULE-RANGE-PERCENT-COVERAGE,True,False
A104,ASSUM-ABS-001,SCEN-ABS-001,contingency_roster_activation_pct,Percentage of contingency roster activated relative to full pool,User-Entered Intervention,Percent,Decimal,kpi_002,,RULE-RANGE-PERCENT-COVERAGE,False,True
A105,ASSUM-ABS-001,SCEN-ABS-001,absence_duration_reduction_days,Expected average reduction in absence duration per event,User-Entered Intervention,Days,Decimal,kpi_002,,RULE-RANGE-DURATION-SHORT,False,True
A106,ASSUM-ABS-001,SCEN-ABS-001,intervention_duration_days,Duration of the absenteeism intervention in calendar days,User-Entered Intervention,Days,Integer,kpi_002,,RULE-RANGE-DURATION,True,False
A201,ASSUM-FLOW-001,SCEN-FLOW-001,baseline_avg_wait_min,Observed average patient waiting time in minutes,Observed Baseline,Minutes,Decimal,kpi_004,,RULE-BASELINE-IMMUTABLE,True,False
A202,ASSUM-FLOW-001,SCEN-FLOW-001,baseline_arrivals,Observed daily patient arrival count,Observed Baseline,Count,Integer,kpi_004,,RULE-BASELINE-IMMUTABLE,True,False
A203,ASSUM-FLOW-001,SCEN-FLOW-001,baseline_service_capacity,Observed daily service capacity (patients that can be seen),Observed Baseline,Count,Integer,kpi_004,,RULE-BASELINE-IMMUTABLE,True,False
A204,ASSUM-FLOW-001,SCEN-FLOW-001,service_capacity_change_pct,Percentage change in service capacity from intervention,User-Entered Intervention,Percent,Decimal,kpi_004,,RULE-RANGE-PERCENT-CAPACITY,False,True
A205,ASSUM-FLOW-001,SCEN-FLOW-001,throughput_change_pct,Percentage change in queue throughput from intervention,User-Entered Intervention,Percent,Decimal,kpi_004,,RULE-RANGE-PERCENT-CAPACITY,False,True
A206,ASSUM-FLOW-001,SCEN-FLOW-001,arrival_change_pct,Percentage change in patient arrivals from intervention,User-Entered Intervention,Percent,Decimal,kpi_004,,RULE-RANGE-PERCENT-ARRIVAL,False,True
A207,ASSUM-FLOW-001,SCEN-FLOW-001,routing_efficiency_change_pct,Percentage improvement in routing or triage efficiency,User-Entered Intervention,Percent,Decimal,kpi_004,,RULE-RANGE-PERCENT-EFFICIENCY,False,True
A208,ASSUM-FLOW-001,SCEN-FLOW-001,temporary_resource_change,"Additional temporary resources allocated to service (staff, space, equipment)",User-Entered Intervention,Count,Integer,kpi_004,kpi_001,RULE-RANGE-RESOURCE-COUNT,False,True
A209,ASSUM-FLOW-001,SCEN-FLOW-001,intervention_duration_days,Duration of the flow intervention in calendar days,User-Entered Intervention,Days,Integer,kpi_004,,RULE-RANGE-DURATION,True,False
A301,ASSUM-COMB-001,SCEN-COMB-001,workforce_assumption_set_id,Reference to the workforce assumption set (ASSUM-STAFF-001 or ASSUM-ABS-001),Fixed Governance Parameter,ID,Text,"kpi_001,kpi_002",,RULE-FIXED-REFERENCE,True,False
A302,ASSUM-COMB-001,SCEN-COMB-001,flow_assumption_set_id,Reference to the flow assumption set (ASSUM-FLOW-001),Fixed Governance Parameter,ID,Text,kpi_004,,RULE-FIXED-REFERENCE,True,False
A303,ASSUM-COMB-001,SCEN-COMB-001,interaction_assumption,Whether cross-domain interaction effects are assumed (association-based only),Fixed Governance Parameter,Boolean,Boolean,"kpi_001,kpi_002,kpi_004","kpi_003,kpi_006",RULE-FIXED-BOOLEAN,True,False
A304,ASSUM-COMB-001,SCEN-COMB-001,interaction_adjustment_factor,Plausibility adjustment factor for cross-domain effects (0.0 to 1.0),Fixed Governance Parameter,Ratio,Decimal,"kpi_001,kpi_002,kpi_004",,RULE-FIXED-RANGE,True,False
G001,ASSUM-GOV-001,ALL,contradiction_confidence_multiplier,Multiplier applied to scenario confidence when contradiction severity is Material,Fixed Governance Parameter,Multiplier,Decimal,ALL,,RULE-FIXED-MULTIPLIER,True,False
G002,ASSUM-GOV-001,ALL,provisional_confidence_multiplier,Multiplier applied to scenario confidence when a provisional KPI is involved,Fixed Governance Parameter,Multiplier,Decimal,ALL,,RULE-FIXED-MULTIPLIER,True,False
G003,ASSUM-GOV-001,ALL,missing_data_confidence_multiplier,Multiplier applied to scenario confidence when baseline data completeness is below threshold,Fixed Governance Parameter,Multiplier,Decimal,ALL,,RULE-FIXED-MULTIPLIER,True,False
G004,ASSUM-GOV-001,ALL,assumption_extremity_penalty,Penalty applied to confidence when assumptions are at the edge of allowed ranges,Fixed Governance Parameter,Penalty,Decimal,ALL,,RULE-FIXED-PENALTY,True,False
G005,ASSUM-GOV-001,ALL,combined_scenario_confidence_penalty,Fixed confidence penalty for combined-intervention scenarios due to unvalidated cross-domain effects,Fixed Governance Parameter,Penalty,Decimal,ALL,,RULE-FIXED-PENALTY,True,False
