management_scenario_package_id,approval_package_id,financial_readiness,Baseline,Conservative,Expected,Higher Intensity,total_estimated_benefit,net_financial_impact,cost_completeness,benefit_completeness,roi_status,roi_percent,payback_status,payback_period,affordability,uncertainty_range,primary_financial_driver,primary_financial_risk,financial_confidence,required_confirmation,management_action_required,approval_status,governance_warning
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Ready for Financial Comparison,,6410.0,24820.0,47580.0,6030.0,-72780.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-90.67361531464734,Calculated,11.799384056222962,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Ready for Financial Comparison,,46290.0,82180.0,124280.0,31500.0,-221250.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-87.73620991493108,Calculated,8.178201058201058,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready for Financial Comparison,,46290.0,82180.0,124280.0,31500.0,-221250.0,Complete with Governed Assumptions,Partial,ROI Calculated — Governed Inputs,-87.73620991493108,Calculated,8.178201058201058,Budget Availability Unknown,Low-High,Workforce cost,Missing actual cost rates,Low,Management review required,Compare Financial Impacts;Validate Cost Inputs,Pending Management Review,Draft analytical estimates — no actual cost data used
