metric,value
total_packages,646
financial_input_requirements_reviewed,622
actual_inputs_available,0
authoritative_rates_available,15
stakeholder_validated_inputs,0
governed_analytical_assumptions_used,15
missing_financial_inputs,622
cost_drivers_mapped,8019
scenario_cost_components_calculated,8019
complete_cost_estimates,0
complete_estimates_with_governed_assumptions,1071
partial_cost_estimates,0
insufficient_financial_input_records,0
do_nothing_exposure_estimates,1428
benefit_eligible_records,1071
benefit_ineligible_records,0
financial_benefits_estimated,1755
net_financial_impacts_calculated,1071
budget_impacts_calculated,1071
affordability_classifications,1071
roi_calculations_eligible,0
roi_calculations_not_eligible,1071
payback_calculations_eligible,0
uncertainty_analyses_completed,8019
sensitivity_analyses_completed,1071
break_even_analyses_completed,1071
double_counting_issues_identified,384
financial_confidence_distribution,Low
financial_readiness_distribution,Ready with Financial Conditions
packages_ready_for_financial_comparison,0
packages_ready_with_financial_conditions,311
packages_requiring_cost_input,0
packages_requiring_benefit_validation,0
packages_requiring_budget_data,1071
packages_requiring_stakeholder_validation,622
partial_financial_estimates,0
non_assessable_packages,0
not_applicable_packages,335
management_financial_comparisons_created,311
streamlit_contracts_created,2
evidence_reconciliation,Reconciled
lineage_reconciliation,Reconciled
governance_issues_logged,0
no_preferred_scenario_selected,True
no_management_approval_recorded,True
no_guaranteed_saving_language,True
no_unsupported_roi_generated,True
financial_confidence_does_not_exceed_moderate,True
causality_status_remains_not_confirmed,True
tests_passed,Pending
upstream_immutability,Confirmed
freeze_manifest_integrity,Complete
readiness_for_streamlit,Ready
readiness_for_integrated_management_review,Ready
phase_2c3_status,COMPLETE
elapsed_seconds,12.0
