stage,start_time,end_time,elapsed_seconds,records_processed
input_loading,2026-07-28T21:52:47.738103,2026-07-28T21:52:48.270936,0.533,17
baseline_validation,2026-07-28T21:52:48.280661,2026-07-28T21:52:48.348857,0.068,357
assumption_challenge,2026-07-28T21:52:48.348884,2026-07-28T21:52:50.636506,2.288,1428
numerical_validation,2026-07-28T21:52:50.636539,2026-07-28T21:52:50.704178,0.068,1428
comparator_validation,2026-07-28T21:52:50.704242,2026-07-28T21:52:53.439352,2.735,357
dominance_validation,2026-07-28T21:52:53.439379,2026-07-28T21:52:53.479991,0.041,2142
sensitivity_validation,2026-07-28T21:52:53.480014,2026-07-28T21:52:53.709678,0.23,357
displacement_validation,2026-07-28T21:52:53.709703,2026-07-28T21:52:53.758147,0.048,1950
interpretation_validation,2026-07-28T21:52:53.758193,2026-07-28T21:52:53.774763,0.017,357
governance_validation,2026-07-28T21:52:53.774794,2026-07-28T21:52:53.821763,0.047,1428
scorecard_generation,2026-07-28T21:52:53.821794,2026-07-28T21:53:00.523218,6.701,357
package_readiness,2026-07-28T21:53:00.523243,2026-07-28T21:53:03.165233,2.642,357
total_execution,2026-07-28T21:52:47.737910,2026-07-28T21:53:03.215284,15.477,0
