issue_id,approval_package_id,issue_category,issue_description,severity,closure_impact,recommended_action,governance_warning
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260122,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260122,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260305,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260305,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260325,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260325,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260405,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260405,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260417,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260428,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260428,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260823,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260823,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
