kpi_id,kpi_name,test_value,unit,directionality,lower_red,lower_amber,green_lower,green_upper,upper_amber,upper_red,expected_status,actual_status,status_meta,severity_score,breach_magnitude,approval_status,effective_date,threshold_is_provisional
kpi_001,Staffing Level,100.0,Percent,HIGHER_IS_BETTER,80.0,84.19668593008033,84.19668593008033,100.0,,,Green,Green,Above green threshold (84.19668593008033),1.0,0.0,Approved,2026-07-28,False
kpi_001,Staffing Level,94.4,Percent,HIGHER_IS_BETTER,80.0,84.19668593008033,84.19668593008033,100.0,,,Green,Green,Above green threshold (84.19668593008033),1.0,0.0,Approved,2026-07-28,False
kpi_001,Staffing Level,82.3,Percent,HIGHER_IS_BETTER,80.0,84.19668593008033,84.19668593008033,100.0,,,Amber,Amber,Below warning threshold (84.19668593008033),2.0,0.022526847810321268,Approved,2026-07-28,False
kpi_001,Staffing Level,84.6,Percent,HIGHER_IS_BETTER,80.0,84.19668593008033,84.19668593008033,100.0,,,Green,Green,Above green threshold (84.19668593008033),1.0,0.0,Approved,2026-07-28,False
kpi_001,Staffing Level,79.0,Percent,HIGHER_IS_BETTER,80.0,84.19668593008033,84.19668593008033,100.0,,,Red,Red,Below critical threshold (80.0),3.0,0.0125,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,0.0,Percent,LOWER_IS_BETTER,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,Green,Green,Below green threshold (15.001220617023437),1.0,0.0,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,5.6,Percent,LOWER_IS_BETTER,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,Green,Green,Below green threshold (15.001220617023437),1.0,0.0,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,15.4,Percent,LOWER_IS_BETTER,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,Amber,Amber,Above warning threshold (15.001220617023437),2.0,0.02658312901045048,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,20.0,Percent,LOWER_IS_BETTER,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,Red,Red,Above critical threshold (19.047619047619047),3.0,0.05000000000000001,Approved,2026-07-28,False
kpi_003,Bed Occupancy Rate,90.0,Percent,TARGET_BAND,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,Green,Green,Within target band,1.0,0.0,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,102.0,Percent,TARGET_BAND,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,Amber,Amber,Above green upper bound (100.16047931158654),2.0,0.018365733681155245,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,105.0,Percent,TARGET_BAND,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,Red,Red,Above critical upper bound (104.76190476190476),3.0,0.0022727272727272986,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,83.0,Percent,TARGET_BAND,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,Amber,Amber,Below green lower bound (86.11897763218477),2.0,0.036217076862035666,Conditionally Approved,2026-07-28,True
kpi_004,Average Patient Waiting Time,10.0,Minutes,LOWER_IS_BETTER,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,Green,Green,Below green threshold (47.24228685036204),1.0,0.0,Approved,2026-07-28,False
kpi_004,Average Patient Waiting Time,50.0,Minutes,LOWER_IS_BETTER,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,Amber,Amber,Above warning threshold (47.24228685036204),2.0,0.05837382848067661,Approved,2026-07-28,False
kpi_004,Average Patient Waiting Time,55.0,Minutes,LOWER_IS_BETTER,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,Red,Red,Above critical threshold (54.08749262536873),3.0,0.016870949832184925,Approved,2026-07-28,False
kpi_005,Patient Complaint Rate,0.0,Complaints per 1000 encounters,LOWER_IS_BETTER,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,Green,Green,Below green threshold (14.778812840390938),1.0,0.0,Conditionally Approved,2026-07-28,True
kpi_005,Patient Complaint Rate,15.0,Complaints per 1000 encounters,LOWER_IS_BETTER,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,Amber,Amber,Above warning threshold (14.778812840390938),2.0,0.01496650387266231,Conditionally Approved,2026-07-28,True
kpi_005,Patient Complaint Rate,20.0,Complaints per 1000 encounters,LOWER_IS_BETTER,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,Red,Red,Above critical threshold (19.743739079790338),3.0,0.01297935103244809,Conditionally Approved,2026-07-28,True
kpi_006,Patient Satisfaction Score,5.0,1-5 Likert Score,HIGHER_IS_BETTER,2.5,2.803470425318753,2.803470425318753,5.0,,,Green,Green,Above green threshold (2.803470425318753),1.0,0.0,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,4.0,1-5 Likert Score,HIGHER_IS_BETTER,2.5,2.803470425318753,2.803470425318753,5.0,,,Green,Green,Above green threshold (2.803470425318753),1.0,0.0,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.8,1-5 Likert Score,HIGHER_IS_BETTER,2.5,2.803470425318753,2.803470425318753,5.0,,,Amber,Amber,Below warning threshold (2.803470425318753),2.0,0.0012379033099158177,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.5,1-5 Likert Score,HIGHER_IS_BETTER,2.5,2.803470425318753,2.803470425318753,5.0,,,Red,Red,Below critical threshold (2.5),3.0,0.0,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.0,1-5 Likert Score,HIGHER_IS_BETTER,2.5,2.803470425318753,2.803470425318753,5.0,,,Red,Red,Below critical threshold (2.5),3.0,0.2,Approved,2026-07-28,False
